Product Name,Brand Name,Commodity,Subcommodity,Category,Food/NonFoodItem
Paper Towels 250ml,FarmFresh,Paper Products,Paper Towels,Household,NonFood
Chicken Pack of 4,ChefSelect,Meat,Chicken,Fresh Foods,Food
Canola Oil Pack of 4,FarmFresh,Oils,Canola Oil,Grocery,Food
Tomatoes 250ml,CleanMate,Produce,Tomatoes,Fresh Foods,Food
Yogurt Pack of 6,SafeGuard,Dairy,Yogurt,Grocery,Food
Sugar 1kg,DailyNeeds,Baking,Sugar,Grocery,Food
Surface Cleaner 250ml,ChefSelect,Cleaning,Surface Cleaner,Household,NonFood
Chips 250ml,LittleLambs,Snacks,Chips,Grocery,Food
Diapers 2L,ChefSelect,Baby Care,Diapers,Baby Products,NonFood
Baby Wipes 1L,GoldGrain,Baby Care,Baby Wipes,Baby Products,NonFood
Beef 500ml,CleanMate,Meat,Beef,Fresh Foods,Food
Pork 2kg,EcoHome,Meat,Pork,Fresh Foods,Food
Air Freshener 500g,SafeGuard,Household Care,Air Freshener,Household,NonFood
Baby Wipes 1kg,FreshBite,Baby Care,Baby Wipes,Baby Products,NonFood
Beef 1L,EcoHome,Meat,Beef,Fresh Foods,Food
Butter 1L,CleanMate,Dairy,Butter,Grocery,Food
Yeast 500ml,NatureGrain,Baking,Yeast,Grocery,Food
Shrimp 250ml,GoldGrain,Seafood,Shrimp,Fresh Foods,Food
Nuts Pack of 4,Happy Farms,Snacks,Nuts,Grocery,Food
Apples 1kg,Happy Farms,Produce,Apples,Fresh Foods,Food
Baby Wipes 500ml,GreenValley,Baby Care,Baby Wipes,Baby Products,NonFood
Cookies 1kg,LittleLambs,Snacks,Cookies,Grocery,Food
Bananas 2L,DailyNeeds,Produce,Bananas,Fresh Foods,Food
Chips 2kg,NatureGrain,Snacks,Chips,Grocery,Food
Shrimp Pack of 4,FreshBite,Seafood,Shrimp,Fresh Foods,Food
Mop Refill 1L,Happy Farms,Household Care,Mop Refill,Household,NonFood
Nuts 500g,PureHarvest,Snacks,Nuts,Grocery,Food
Tuna Pack of 6,EcoHome,Seafood,Tuna,Fresh Foods,Food
Diapers 500ml,EcoHome,Baby Care,Diapers,Baby Products,NonFood
Tomatoes 1L,Happy Farms,Produce,Tomatoes,Fresh Foods,Food
Toilet Paper Pack of 4,MilkyWay,Paper Products,Toilet Paper,Household,NonFood
Dish Soap 1L,SafeGuard,Cleaning,Dish Soap,Household,NonFood
Pasta 2kg,NatureGrain,Grains,Pasta,Grocery,Food
Chips Pack of 6,PureHarvest,Snacks,Chips,Grocery,Food
Baby Wipes 250ml,GoldGrain,Baby Care,Baby Wipes,Baby Products,NonFood
Yeast 500ml,EcoHome,Baking,Yeast,Grocery,Food
Yogurt 250ml,DailyNeeds,Dairy,Yogurt,Grocery,Food
Chicken Pack of 6,GoldGrain,Meat,Chicken,Fresh Foods,Food
Coconut Oil 2kg,NatureGrain,Oils,Coconut Oil,Grocery,Food
Flour 1kg,PureHarvest,Baking,Flour,Grocery,Food
Baking Powder 1kg,DailyNeeds,Baking,Baking Powder,Grocery,Food
Air Freshener Pack of 4,Happy Farms,Household Care,Air Freshener,Household,NonFood
Diapers 250ml,DailyNeeds,Baby Care,Diapers,Baby Products,NonFood
Toilet Paper 500g,SafeGuard,Paper Products,Toilet Paper,Household,NonFood
Salmon 2kg,EcoHome,Seafood,Salmon,Fresh Foods,Food
Paper Towels 2kg,ChefSelect,Paper Products,Paper Towels,Household,NonFood
Nuts 2L,MilkyWay,Snacks,Nuts,Grocery,Food
Chicken 1L,GoldGrain,Meat,Chicken,Fresh Foods,Food
Air Freshener Pack of 4,FarmFresh,Household Care,Air Freshener,Household,NonFood
Paper Towels 500ml,SafeGuard,Paper Products,Paper Towels,Household,NonFood
Pasta Pack of 6,PureHarvest,Grains,Pasta,Grocery,Food
Air Freshener 1kg,SafeGuard,Household Care,Air Freshener,Household,NonFood
Chips 2L,Happy Farms,Snacks,Chips,Grocery,Food
Milk 500ml,GoldGrain,Dairy,Milk,Grocery,Food
Shrimp Pack of 6,ChefSelect,Seafood,Shrimp,Fresh Foods,Food
Laundry Detergent Pack of 6,FarmFresh,Cleaning,Laundry Detergent,Household,NonFood
Nuts 2L,FarmFresh,Snacks,Nuts,Grocery,Food
Toilet Paper 500g,CleanMate,Paper Products,Toilet Paper,Household,NonFood
Yogurt Pack of 4,FreshBite,Dairy,Yogurt,Grocery,Food
Baking Powder 500g,DailyNeeds,Baking,Baking Powder,Grocery,Food
Flour 500g,ChefSelect,Baking,Flour,Grocery,Food
Bananas 500ml,ChefSelect,Produce,Bananas,Fresh Foods,Food
Bananas Pack of 4,FreshBite,Produce,Bananas,Fresh Foods,Food
Cookies 2kg,PureHarvest,Snacks,Cookies,Grocery,Food
Yeast 500ml,FreshBite,Baking,Yeast,Grocery,Food
Spinach Pack of 6,GoldGrain,Produce,Spinach,Fresh Foods,Food
Air Freshener Pack of 6,MilkyWay,Household Care,Air Freshener,Household,NonFood
Yeast 250ml,GreenValley,Baking,Yeast,Grocery,Food
Chicken Pack of 4,Happy Farms,Meat,Chicken,Fresh Foods,Food
